SampleNo,CR,15ML,15L,25L,45L,75L,110L,15Ma,15a,25a,45a,75a,110a,15Mb,15b,25b,45b,75b,110b,15Mc,15c,25c,45c,75c,110c,15Mh,15h,25h,45h,75h,110h,15Si,45Si,75Si,15Sa,45Sa,75Sa,G,726C,718Y,783S,772S,755C,744S,717C,980,910,135,828,835,831,826,836,838,815,856,892,895,855,851,858,839,896,862,865,891,898,845,832,816,818,233,940,424,356,384,306,318,331,198,154,290,522,322,570,410,550,530,371,482,343,030,960,580,670,632,110,821,190,020,010
MITSUOKA 059GR CK000,0.511824,70.01,66.45,50.74,30.01,20.35,16.71,-45.15,-43.07,-37.84,-30.33,-26.66,-24.65,30.01,28.53,23.82,16.84,12.37,10.33,54.21,51.66,44.71,34.69,29.39,26.72,146.39,146.47,147.82,150.96,155.11,157.27,18.54,9.34,5.98,27.43,24.57,18.66,9.3,0,0,7.44390735,0,20.83277825,0,0,0,0.106000076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.111407911,0,0,0,0,0,0,47.91383796,0,0,0,0,0,0,1.863127309,2.282044275,0,0,2.12384579,16.32305108,0,0,0,0
MITSUOKA 065GR CK000,0.962832,16.93,15.6,14.94,14.58,15.71,15.33,-19.39,-19.01,-18.96,-18.86,-18.55,-18.26,3.24,2.47,2.28,2.06,0.75,0.74,19.66,19.17,19.1,18.97,18.57,18.27,170.51,172.59,173.15,173.77,177.7,177.68,2.43,1.09,3.62,12.96,2.16,7.69,0.98,0,0,0,0,0,0,0,26.84431727,0.827128143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.24648011,0,0,41.69786193,6.384212551,0,0,0,0
MITSUOKA 075BL CK000,0.99931,75.67,76.27,76.01,76.1,76.59,74.11,-10.85,-11.16,-11.19,-11.25,-10.87,-10.42,-13.01,-13.59,-13.76,-14.02,-14.73,-14.3,16.94,17.59,17.74,17.98,18.31,17.69,230.18,230.6,230.89,231.25,233.57,233.92,0.03,0,0.79,0.22,0,0.54,0.57,0,0,0,0,0,0,0,8.199657573,71.0392192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.728418478,0,0,0,0,0,0,7.406142324,11.62656242,0,0,0,0,0,0,0
MITSUOKA 079BL CK000,0.976807,63.01,60.12,45.38,24.05,11.84,7.33,-2.21,-2.11,-0.76,1.52,3.51,3.6,-42.8,-40.64,-35.13,-24.99,-17.1,-12.83,42.86,40.69,35.14,25.03,17.45,13.32,267.04,267.03,268.76,273.48,281.6,285.69,7.66,5.99,4.95,31.15,28.88,18.83,5.97,21.17739,0,0,0,0,0,0,24.96952409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.36602037,0,0,0,0,16.40845816,0,0.725478506,0,7.353128874,0,0,0,0,0,0,0
MITSUOKA 108PU CK000,0.784352,54.55,51.59,38.18,22.85,17.56,15.47,37.1,36.09,33.62,31.02,29.99,28.84,-6.97,-6.72,-5.06,-1.74,-0.88,-0.8,37.75,36.71,34,31.07,30,28.85,349.36,349.45,351.44,356.79,358.32,358.41,13.6,5.66,3.91,31.68,24.21,13.17,7.2,2.153084215,0,6.138796751,0,17.18334643,0,0,9.882217144,0.431622957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.91640661,0,0,0,0,0,0,0,0,0,0,0,12.80962619,0,0,0,0,12.25517094,1.229728755,0,0,0,0,0,0,0,0,0
MITSUOKA 111PU CK001,0.925066,20.81,17.11,9.86,4.83,4.4,4.11,26.96,25.77,18.42,9.13,7.11,6.13,-10.86,-12.71,-8.26,-1.97,-0.22,0.05,29.06,28.73,20.19,9.34,7.11,6.13,338.05,333.76,335.85,347.83,358.2,0.51,20.64,2.72,3.11,21.19,15.35,6.61,1.66,0,0,0,0,0,0,0,32.08194673,0,0,0,0,0,0,0,3.830431802,0,1.61219403,0,0,0,0,0,0,0,0,0,0,0,12.09145523,0,0,0,0,0,0,0,0,0.676234219,0,0,0,0,0,0,0,0,19.81741946,0,0,0,0,0,0.913076323,28.97724221,0,0,0,0,0,0,0,0
MITSUOKA 117MU CK000,0.999157,66.86,64.26,48.76,26.82,14.18,8.99,3.67,3.35,2.76,1.99,1.91,1.85,4.89,4.55,3.43,2.35,2.61,2.77,6.11,5.65,4.4,3.08,3.23,3.33,53.11,53.57,51.11,49.74,53.76,56.19,7.99,6.19,5.41,29.3,28.87,22.72,7.23,17.50599736,0,0,0,0,0,0,40.68866132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406157427,0,0,0,1.409656613,0,0,0,0,0.308506952,0,0,2.467955804,0,0.462015597,36.75104893,0,0,0,0,0,0,0,0
NISSAN 22V CK000,0.945119,159.31,145.77,104.28,54.49,37.72,35.21,-0.91,-0.46,-0.51,-0.88,-0.99,-1.24,1.77,1.45,-0.29,-1.96,-4.64,-6.12,2,1.52,0.59,2.15,4.74,6.24,117.22,107.5,209.76,245.78,258.01,258.58,14.15,15.51,10.04,28.8,26.62,18.69,6.59,0,0,12.99791852,55.21386723,0,0,0,0,0.01308941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.35017973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088643472,0,0,0.033228158,0,0.303073483,0,0,0,0,0,0,0,0,0
NISSAN 656 CK001,0.986475,109.12,104.44,92,66.37,44.44,34.82,2.03,1.82,1.63,1.38,2.11,2.88,19.65,18.09,16.09,12.61,11.74,12.28,19.75,18.18,16.17,12.69,11.93,12.61,84.09,84.26,84.22,83.74,79.82,76.8,7.64,7.89,7.06,21.03,23.78,21.01,5.59,24.81020272,0,0,4.366708793,0,4.366708793,57.7338903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.557235518,0,0,0,0,0,1.656569737,0,0,0,0,0,0,0,0,0,2.525051682,0,0,0,0,0,0,3.983632453,0,0
NISSAN 656 CK002,0.894262,122.77,115.26,91.01,58.66,42.4,37.22,0.86,0.84,1.2,1.32,1.87,2.18,13.55,13.18,12.38,10.65,9.56,9.29,13.58,13.2,12.44,10.73,9.74,9.55,86.38,86.34,84.49,82.91,78.94,76.78,10.8,6.53,4.23,24.32,22.19,14.29,5.4,0,0,0,7.578309796,0,7.578309796,23.15329034,0,0.226685725,0,0,0,0,0,0,0,0,0,0,52.91998884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721572219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432477449,1.898934572,0,0,0,0,0,5.490431265,0,0
NISSAN A03W2-A CK000,0.982456,43.13,41.75,40.84,40.24,40.78,39.86,16.03,17.08,17.41,17.71,17.4,16.71,30.1,30.74,31.29,31.18,28.92,28.17,34.1,35.16,35.81,35.85,33.75,32.75,61.96,60.94,60.9,60.4,58.97,59.33,1.06,1,0.71,1.16,0.11,0.62,0.69,0,0,0,0,0,0,0,13.48896805,2.770500937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.453772221,0,0,0,64.10317474,0,0,0,0,0,0,0,0,0,0,0,12.18358405,0,0,0,0,0,0,0,0
NISSAN A10 CK105,0.933537,61.77,61.71,61.32,61.23,61.87,59.94,23.9,25.09,25.32,25.56,25.06,23.98,37.08,38.06,38.13,37.91,35.08,33.69,44.11,45.59,45.77,45.72,43.11,41.35,57.19,56.61,56.42,56.01,54.46,54.56,0.01,0,0,0.1,0,0,0.53,0,0,0,0,0,0,0,3.551666857,27.41754041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.16572409,0,0,0,0,0,0,0,0,0,39.10495055,0,0,0,1.760118088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NISSAN A17-N CK000,0.959773,46.92,46.13,45.45,45.18,46.05,44.86,16.59,17.39,17.62,17.71,17.32,16.69,26.74,27.04,27.2,26.81,23.99,23.22,31.47,32.15,32.41,32.13,29.59,28.6,58.18,57.26,57.07,56.55,54.17,54.29,0.82,0.05,0.38,0.65,0.02,0.36,0.66,0,0,0,0,0,0,0,20.36531905,14.016289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53776126,0,0,0,0,44.68614897,0,0,0,0,0,0,0,0,0,0,18.39448172,0,0,0,0,0,0,0,0
NISSAN A34 CK102,0.92303,88.49,83.7,65.99,43.9,33.25,29.13,11.5,11.75,14.77,21.44,25.9,27.42,36.51,34.99,31.98,30.08,29.7,29.36,38.27,36.91,35.23,36.93,39.41,40.17,72.52,71.44,65.2,54.52,48.91,46.95,8.84,5.44,4.05,28.56,22.36,13.09,6.59,0,0,0,0,0,30.20560091,12.94684105,4.33250454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.95430319,0,0,3.722015264,0,2.806754744,0,4.217482295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.851822477,0,0,0,0,13.96267552,0,0,0,0
NISSAN AJ6 CK011,0.999955,12.81,10.11,5.24,3.25,3.36,3.2,16.33,14.3,5.97,1.13,0.55,0.4,5.18,4.7,2.96,1.81,1.88,1.73,17.14,15.06,6.66,2.13,1.96,1.77,17.6,18.2,26.34,58.03,73.8,77,7.29,1.22,2.02,32.37,8.52,4.52,1.34,0,0,0,0,0,0,0,76.04533971,0,0,0,0,2.131975182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58929059,0,0,0,0.812422311,0,0,0,0,0,0.087638506,0,0,0,0,0,19.3333337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NISSAN AL0 CK003,0.914081,25.39,23.25,16.35,10.85,10.26,9.73,40.72,39.7,33,25.79,24.15,23.22,4.27,5.12,7.13,8.23,8.62,8.14,40.95,40.03,33.76,27.07,25.64,24.61,5.99,7.35,12.19,17.7,19.65,19.32,8.88,2.61,2.54,29.04,14.45,6.18,1.84,0,0,0,0,0,0,0,13.3663967,0,0,0,0,7.99871856,2.233105279,0,0,0,0,0,1.595075199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.10129252,0,22.66135086,0,0,0,0,0,0,0,0,0,0,0,0,7.553229265,0,0,0.490831617,0,0,0,0,0,0,0,0,0
NISSAN AL4 CK011,0.861119,36.83,36.37,35.87,35.57,36.02,34.95,57.02,58.26,58.28,58.48,58.33,56.82,25.56,27.32,27.57,27.56,24.76,23.57,62.49,64.35,64.47,64.65,63.37,61.51,24.15,25.13,25.32,25.23,23,22.53,1.83,0.31,1.62,4.68,0.42,2.09,0.96,0,0,0,0,0,0,0,0,2.427410761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.590060875,84.92868155,8.053846815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NISSAN AR2 CK104,0.858764,32.42,31.78,31.29,30.88,31.32,30.39,53.9,55.11,55.08,55.24,55.07,53.57,39.14,41.98,42.42,42.66,40.53,39.02,66.61,69.28,69.52,69.8,68.37,66.27,35.98,37.3,37.6,37.68,36.35,36.07,1.53,1.2,1.59,3.6,1.61,3.98,0.91,0,0,0,0,0,0,0,1.138559329,0.940641539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.54847228,0,0,0,0,0,0,0,0,55.81233114,0,0,0,0,18.55999571,0,0,0,0,0,0,0,0,0,0,0,0
NISSAN AR2 CK105,0.88884,33.13,32.6,32.09,31.73,32.18,31.21,54.49,55.6,55.58,55.69,55.48,54.01,39.54,41.95,42.49,42.47,39.77,38.4,67.33,69.65,69.97,70.04,68.26,66.27,35.96,37.03,37.4,37.33,35.64,35.42,2.77,0.49,1.85,4.51,0.66,2.79,0.94,0,0,0,0,0,0,0,1.180821919,1.148311288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.24321123,0,0,0,0,0,0,0,0,63.09140297,0,0,0,0,12.33625258,0,0,0,0,0,0,0,0,0,0,0,0
NISSAN AW1 CK081,0.875682,45.07,41.69,30.19,17.29,13.67,12.22,52.41,49.93,39.44,25.4,18.92,16.73,44.55,42.14,33.72,20.3,14.55,12.59,68.78,65.34,51.89,32.52,23.87,20.94,40.37,40.16,40.53,38.63,37.57,36.96,7.17,5.45,4.2,31.61,24.89,13.51,2.83,0,0,0,0,0,0,0,17.03014908,0,0,0,0,0,0,19.49410362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.959396061,0,0,0,0,0,0,0,0,0,0,28.73866231,0,0,0,0,7.867309595,0,0,0.83549353,0,0,0,0,8.966558965,15.10832685,0,0,0
NISSAN AX7 CK003,0.730268,71.93,67.79,51.58,29.29,18.28,14.78,66.35,62.37,52.8,38.07,31.06,28.74,0.04,-0.02,0.87,3.15,7.06,9,66.35,62.37,52.8,38.2,31.85,30.11,0.04,359.98,0.95,4.73,12.81,17.38,7.93,5.86,4.77,27.94,26.32,20.13,5.09,9.910718181,0,0,0,0,20.9413782,8.978897373,7.334307572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.687029649,0,0,0,0,0.608319478,0,0,0,0,0,0,0,20.58717419,0,0,29.28166735,0,0,0.670508009,0,0,0,0,0,0,0,0,0
NISSAN AY4 CK101,0.755924,57.29,52.24,37.23,22.13,17.81,16.32,66.1,62.82,51.9,39.28,34.92,33.28,24.48,23.49,21.89,21.14,21.35,20.27,70.49,67.07,56.33,44.61,40.93,38.96,20.32,20.51,22.87,28.29,31.44,31.34,9.48,5.49,4.18,31.62,23.62,14.94,4.74,0,0,0,0,0,4.99489887,0,1.207150698,0.016153461,0,0,19.83550967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510018268,0,0,0,0,0,49.80325209,0,23.23255235,0,0,0,0,0,0.400464598,0,0,0,0,0,0,0,0,0
NISSAN B00 CK000,0.952998,32.98,32.09,31.61,31.44,32.78,31.81,10.55,11.42,11.65,11.84,11.98,11.68,-39.17,-40.43,-40.67,-41.11,-41.67,-40.76,40.57,42.01,42.31,42.78,43.36,42.4,285.08,285.77,285.99,286.07,286.04,285.99,1.79,0.54,1.16,1.47,0.42,1.91,0.91,0,0,0,0,0,0,0,9.565267474,10.63800775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.20524984,0,0,8.639596428,25.95187851,0,0,0,0,0,0,0
NISSAN B16 CK010,0.905833,90.69,82.25,52.88,21.89,11.86,8.78,-45.8,-41.73,-27.75,-6.59,4.04,5.89,-38.53,-35.68,-28.86,-23.16,-22.09,-20.22,59.85,54.9,40.04,24.08,22.45,21.06,220.07,220.53,226.12,254.12,280.36,286.25,18.04,15,8.68,35.5,23.76,13.89,9.37,0,0,9.7652964,25.37742209,0,0,0,18.29205604,0,0,0,0,0,0,0,0,0,0,0,0,11.11750249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.101370211,2.849215338,0,0,0,0,0,0.232962412,0,27.26417502,0,0,0,0,0,0,0
NISSAN B17 CK006,0.523949,44.48,43.61,30.74,15.73,10.87,9.14,10.9,3.55,2.38,4.95,7.14,7.55,-74.16,-68.75,-53.31,-37.01,-31.44,-28.79,74.96,68.84,53.36,37.34,32.24,29.77,278.36,272.95,272.56,277.61,282.8,284.69,7.82,4.11,2.92,29.76,24.93,12.72,2.16,0,0,0,0,0,0,0,6.847117674,0,0,0,0,0,0,0,0,0,36.69524435,0,0,17.05434166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.88703944,0,0,4.311397787,0,0.853274574,0,11.35158451,0,0,0,0,0,0,0
NISSAN B19 CK000,0.996658,57.31,57.1,56.65,56.57,57.46,55.8,-2.62,-2.62,-2.61,-2.61,-2.28,-2.17,-18.58,-19.48,-19.72,-20.15,-21,-20.47,18.77,19.66,19.89,20.32,21.12,20.59,261.96,262.34,262.45,262.63,263.79,263.95,0.98,0,0,2.14,0,0,0.69,0,0,0,0,0,0,0,24.60877493,32.59504403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.03287853,0,9.53602192,0,0,22.22728059,0,0,0,0,0,0,0,0
NISSAN B21 CK102,0.943781,62.72,59.33,43.89,22.02,9.9,6.06,-9.31,-9.66,-7.95,-3.42,1.38,2.39,-35.28,-33.35,-27.31,-18.94,-13.44,-10.06,36.49,34.73,28.44,19.25,13.51,10.34,255.22,253.84,253.77,259.76,275.88,283.37,12.91,11.86,9.86,33.48,28.43,18.04,6.91,0,0,0,0,0,13.84623462,0,30.7698218,0,0,0,0,0,0,0,0,0,18.1959381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214236684,0,0,0,0,19.29671739,0,0,0,0,8.25672443,0,1.080486839,0,8.339840139,0,0,0,0,0,14.8,0
NISSAN B36 CK101,0.999989,107.54,102.3,84.41,57.15,42.34,36.73,-5.43,-4.94,-4.69,-4.47,-4.34,-4.49,-6.32,-6.21,-7.68,-10.64,-14.8,-17.48,8.33,7.93,9,11.54,15.42,18.05,229.31,231.5,238.62,247.2,253.65,255.61,6.02,5.42,5.12,21.44,24.82,16.24,5.92,83.6167749,0,0,0,0,0,0,2.923542486,0.479620701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.250380998,0,0,0,0,0,0,0,0,0,0,0,0,0,6.197226866,0,0,1.591021752,0,0.941432294,0,0,0,0,0,0,0,25.26,0
NISSAN BG0 CK001,0.99475,71.54,69.6,59.71,40.21,24.13,16.59,-8.72,-8.19,-7.3,-5.55,-3.53,-2.32,-16.68,-15.97,-15.05,-12.94,-11.68,-11.41,18.82,17.94,16.73,14.08,12.2,11.64,242.39,242.85,244.14,246.78,253.18,258.5,9.57,6.72,4.86,24.35,25.47,24.18,6.3,13.2793219,0,3.307172032,0,0,0,30.9224369,35.17904395,0.174556389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.250000911,0,0,0,0,0,0,0,0,0,0,0,11.47600599,0,0,0,2.411461928,0,0,0,0,0,0,0,0,0
NISSAN BG0 CK003,0.994091,77.48,75.56,66.33,46.9,29.56,21.4,-6.18,-5.76,-5.18,-4,-2.54,-1.79,-13.54,-12.92,-12.39,-11.25,-11.26,-11.85,14.88,14.14,13.43,11.94,11.54,11.98,245.47,245.96,247.3,250.42,257.27,261.43,5.37,5.65,4.69,20.91,26.22,22.97,6.06,8.458402132,0,0,0,0,0,43.59184077,25.45556122,0.206815837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.06549854,0,0,0,0,0,0,0,0,0,0,0,2.978528979,0,0,0,0,0,0,0,0,0,0,0,8.231367117,0,0,0,1.011985417,0,0,0,0,0,0,0,0,0
NISSAN BK8 CK001,0.967999,28.16,25.72,16.72,9.1,7.6,6.9,3.41,0.44,-0.85,-1.16,-0.8,-0.59,-21.83,-20.95,-14.24,-7.09,-4.01,-2.83,22.09,20.95,14.26,7.18,4.09,2.89,278.88,271.21,266.58,260.67,258.65,258.29,11.71,2.62,2.69,26.81,15.44,12.67,2.31,0,0,0,0,0,0,0,7.719049599,0.028405381,0,0,0,0,0,0,0,0,0,1.32930272,1.441638161,0.074890294,16.72861944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.495074866,0,0,0,0,69.18301954,0,0,0,0,0,0,0,0
NISSAN BL0 CK004,0.979938,77.24,73.5,54.84,30.11,17.47,12.27,-3.5,-4.12,-3.38,-2.61,-1.7,-1.21,-8.04,-7.2,-5.42,-4.32,-4.15,-4.08,8.77,8.3,6.38,5.05,4.49,4.26,246.45,240.26,238.07,238.88,247.72,253.51,7.36,5.32,5.16,25.18,26.39,19.79,3.61,0,0,0,0,0,0,0,21.58035318,0,0,0,0,0,0,0,0,0,0,54.68961825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102018229,0,0.443848113,0,0,0,0,0,0,0,1.554353204,0,1.038102644,0,0.578403889,19.49193191,0.521370586,0,0,0,0,0,0,0
NISSAN BN0 CK001,0.998965,35.97,32.79,17.92,5.71,3.8,3.27,-16.34,-18.11,-12.36,-4.29,-1.66,-0.87,-27.4,-22.88,-14.54,-7.72,-4.85,-3.73,31.9,29.18,19.08,8.83,5.13,3.83,239.18,231.63,229.62,240.95,251.06,256.9,10.04,3.66,6.56,34.05,22.24,5.93,2.94,0,0,0,0,0,0,0,54.571878,0,0.193452985,0,0,0,0,0,0,0,0,2.58446753,0,14.75300215,0,0,0,0,0,5.33046428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266995035,0,0,8.873595936,0,0,13.42614409,0,0,0,0,0,0,0,0,0,0,0,0,0
NISSAN BN6 CK001,0.983583,36.73,35.54,24.07,9.85,5.28,4.21,6.31,4.96,4.36,3.35,2.09,1.4,-37.71,-35.82,-29.04,-18.59,-11.3,-7.45,38.23,36.16,29.37,18.89,11.49,7.58,279.5,277.89,278.53,280.23,280.5,280.67,24,10.84,4.17,29.17,24.7,5.78,3.91,0,0,0,0,0,0,0,37.47105465,0,0.17811553,0,0,0,0,0,0,0,0,0,18.57382083,13.48419733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37360308,0,0,0,0,0,0,0,0,14.28700741,0,0,14.2562149,0,1.375986269,0,0,0,0,0,0,0,0,0
NISSAN BN7 CK002,0.986366,80.57,76.55,62.61,42.11,31.58,27.09,-2.52,-2.05,-1.2,0.82,3.23,4.39,-14.76,-14.93,-17.33,-22.81,-28.57,-30.7,14.97,15.07,17.38,22.83,28.75,31.02,260.31,262.17,266.03,272.06,276.44,278.15,6.92,6.14,4.63,26.24,26.41,19.34,6.63,41.64601362,0,0,0,0,0,0,0,0.390365985,0,0,0,22.77913496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.53051103,0,0,0,0,0,0,0,0,0,0,0,0,6.525022634,15.73274953,0,0,0,0,1.396202244,0,0,0,0,0,0,0,0,0
NISSAN BP0 CK001,0.756307,83.44,78.85,59.32,31.81,16.7,11.27,-40.82,-38.34,-30,-16.35,-6.93,-3.86,-32.44,-30.55,-26.73,-21.07,-18.73,-17.15,52.14,49.03,40.18,26.67,19.97,17.58,218.47,218.55,221.7,232.18,249.71,257.32,9.03,6.7,5.49,27.67,25.82,22.49,6.31,1.195849161,0,0,0,0,12.34421416,8.082690283,15.0139574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.94811451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.14256614,0,0,0,0,1.475306201,0,0.395022305,0,4.402279838,0,0,0,0,0,0,0
NISSAN BR8 CK001,0.989936,109.67,104.38,87.26,56.54,33.8,24.41,-3.23,-2.83,-2.24,-1.21,0.05,0.74,-19.33,-17.78,-16.69,-13.88,-12.97,-13.35,19.6,18,16.84,13.93,12.97,13.37,260.51,260.97,262.36,265.02,270.2,273.17,5.65,4.76,4.45,16.27,21.38,18.89,5.19,18.15636211,0,0,0,0,0,62.43897725,1.94212321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.781951766,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303528069,0,0,0,0,0,0,0,0,0,4.672832803,0,3.628522011,0,1.075702779,0,0,0,0,0,0,0,0,0
NISSAN BS7 CK002,0.481723,39.56,38.75,31.2,19.41,12.81,9.74,-14.87,-15.8,-12.11,-3.25,4.91,7.64,-50.84,-49.22,-43.62,-37,-34.97,-32.96,52.97,51.69,45.26,37.14,35.31,33.83,253.7,252.2,254.49,264.97,277.99,283.05,6.65,4.96,3.19,30.43,28.22,11.73,2.85,1.018211777,0,0,0,0,0,2.367747335,1.26197858,0,0,0,0,0,0,0,0,0,0,0,0,17.45955673,0,0,0,0,1.689634522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.86004239,0,0,2.724556364,0,2.703254662,0,18.91501764,0,0,0,0,0,0,0
NISSAN BY6 CK104,0.999472,89.23,84.83,64.2,32.14,14.03,8,-4.73,-4.36,-3.44,-1.81,-0.35,0.15,-14.13,-13.18,-11.42,-7.53,-4.27,-2.81,14.9,13.88,11.92,7.75,4.29,2.81,251.47,251.71,253.22,256.47,265.36,272.99,16.45,17.45,12.38,35.32,28.04,24.43,8.77,10.20947282,0,0,32.24578171,0,0,0,46.62659566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.996957508,0,0,4.289507882,0,0.897904155,0,1.733780264,0,0,0,0,0,0,0
NISSAN C01W3-N CK000,0.984175,76.01,76.55,76.22,76.2,76.54,74.09,6.06,6.61,6.75,6.92,6.77,6.35,53.66,55.77,56.08,56.31,53.68,51.23,54,56.16,56.48,56.73,54.1,51.62,83.56,83.24,83.14,82.99,82.81,82.94,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,2.877802395,20.22530281,28.53619182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.36070297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NISSAN C15 CK102,0.999863,54.64,51.11,35.55,15.98,6.55,4.4,9.98,9.43,7.95,5.27,3.2,1.88,7.99,7.56,6.03,3.88,2.42,1.58,12.79,12.09,9.98,6.55,4.01,2.46,38.67,38.73,37.17,36.37,37.16,39.92,13.61,7.6,6.15,32.64,28.63,12.87,7.13,0,0,0,0,0,6.682527501,4.57707363,66.08797383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676247462,0,0,0,0,0,0,0,1.396382093,6.364159775,0.427009455,13.78862625,0,0,0,0,0,0,0,0
NISSAN C51 CK000,0.934098,70.72,67.65,57.91,49.31,46.99,44.85,10.95,11,11.38,12.13,12.4,12.37,27.78,27.37,28.61,30.76,30.48,30.12,29.86,29.49,30.79,33.06,32.91,32.56,68.48,68.1,68.31,68.48,67.86,67.66,7.27,2.3,1.62,25.52,7.59,1.22,5.2,6.650465624,0,0,0,0,14.30752178,15.48372296,6.975951375,2.79433505,0,0,0,7.855404841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.39451422,0,13.9353972,0,0,0,0,0,0,0,0,0,1.301827636,6.300859307,0,0,0,0,0,0,24.57,0
